keyword,frequency,sentiment
لذيذ,1198,positive
ممتاز,1027,positive
جميل,636,positive
رائع,539,positive
لذيذة,322,positive
ممتازة,266,positive
نظيف,261,positive
تنوع,188,positive
جودة,156,positive
رائعة,144,positive
أفضل,108,positive
سريع,102,positive
جميلة,91,positive
طازج,90,positive
يستاهل,89,positive
كرم,60,positive
مريح,36,positive
متميز,29,positive
أنصح,25,positive
هادئ,22,positive
شهي,18,positive
سريعة,17,positive
احترافي,16,positive
مذهل,16,positive
خدمة ممتازة,16,positive
إبداع,12,positive
أحسن,9,positive
نظيفة,7,positive
طازجة,2,positive
تجربة رائعة,2,positive
صغير,222,negative
قديم,184,negative
بارد,134,negative
سيء,125,negative
غالي,102,negative
سيئة,84,negative
مشكلة,49,negative
باردة,47,negative
ضيق,40,negative
بطيئة,28,negative
تأخر,27,negative
انتظار,26,negative
غالية,11,negative
مزعج,9,negative
متأخر,8,negative
ضعيف,6,negative
مخيب,6,negative
فوضى,5,negative
أسعار مرتفعة,5,negative
لا أنصح,4,negative
خيبة,3,negative
مؤسف,3,negative
شكوى,2,negative
بدون طعم,1,negative
قذر,1,negative
