mall,merchant_count,avg_rating,avg_reviews,total_reviews,avg_bd_score,pct_tier1,pct_high_pri,pct_positive,pct_delivery
الحمراء مول سينومي,70,4.19,956.49,66954,54.24,1.43,21.43,62.86,0.0
الرياض بارك,163,4.28,2235.32,364357,61.21,12.27,38.04,78.53,0.01
الرياض جاليري,211,4.3,3019.64,637145,60.67,12.32,38.39,69.67,0.01
العثيم مول الربوة,163,4.14,1762.21,287241,55.24,4.29,23.31,73.62,0.01
الفيصلية مول,108,4.28,2404.43,259678,60.01,8.33,41.67,75.93,0.01
القصر مول,187,4.22,2129.04,398131,55.69,5.88,23.53,72.19,0.01
بارك افنيو,140,4.28,2032.61,284566,58.15,5.71,30.71,74.29,0.01
بانوراما مول,133,4.33,2112.81,281004,60.23,5.26,35.34,77.44,0.01
برج المملكة,211,4.23,2216.1,467597,59.14,6.64,39.81,74.88,0.01
حياة مول,186,4.26,1793.84,333655,58.18,6.45,32.8,70.43,0.02
ذا زون,176,4.34,2875.32,506057,60.55,7.39,40.34,78.41,0.02
رويال مول,249,4.26,3166.12,788363,59.81,5.62,41.37,77.51,0.02
رياض افنيو مول,206,4.28,3060.47,630457,60.13,6.8,37.86,74.76,0.01
سنتريا مول,169,4.28,3507.66,592794,61.81,10.65,42.6,73.37,0.01
سولتير مول,163,4.3,1796.88,292891,59.1,7.36,33.74,76.07,0.01
سينومي النخيل مول,159,4.18,1949.48,309968,56.48,5.03,27.67,72.33,0.02
سينومي ذا ڤيو موّل,150,4.31,2142.19,321329,60.74,6.0,37.33,78.0,0.01
صحارى مول,137,4.33,3879.19,531449,61.81,8.03,45.99,79.56,0.01
غرناطة مول,161,4.26,1443.46,232397,59.43,4.97,34.78,73.91,0.02
مركز الأندلس التجاري,166,4.35,2380.95,395238,58.73,6.02,37.95,69.88,0.01
مركز قرطبة التجاري,194,4.29,1828.25,354680,56.84,3.09,32.99,73.71,0.03
واجهة روشن - منطقة التسوق,148,4.27,2685.28,397421,61.42,7.43,43.24,76.35,0.0
